,name,acisID,icao,longitude,latitude,elev_ft,valid_avgT_start,valid_avgT_end,valid_snowdepth_start,valid_snowdepth_end
492,SAND POINT AP,20472,PASD,-160.52083,55.31944,21.0,1941-09-26,2025-04-16,1941-10-01,1994-06-30
493,SCAMMON BAY AIRPORT,79427,PACM,-165.567,61.85,14.0,2024-12-18,2025-02-03,,
494,SELAWIK 28 E,78673,,-159.0036,66.562,22.0,2015-08-14,2025-04-18,,
495,SELAWIK ALASKA,65792,,-159.1125,66.6033,105.0,1991-06-14,2025-04-17,,
496,SELAWIK AP,33127,PASK,-159.98611,66.6,25.0,2024-05-08,2025-04-17,,
497,SELDOVIA AIRPORT,30982,PASO,-151.70653,59.44597,28.0,1997-06-01,2025-04-17,,
498,SEVEN MILE ALASKA,65794,,-149.855,65.9383,823.0,1988-03-24,2025-04-17,,
499,SEVEN MILE DOT,33109,,-149.8519,65.9402,649.0,2005-04-13,2007-03-31,2005-04-13,2007-03-31
500,SEWARD,20631,PAWD,-149.44389,60.10389,110.0,1908-02-01,2025-04-15,1908-02-01,2008-09-30
501,SEWARD 19N,21173,,-149.3483,60.3538,518.0,1986-11-06,2014-02-28,1986-11-01,2014-02-28
502,SEWARD 8 NW,21132,,-149.6274,60.1883,424.0,1983-07-01,2016-08-31,1983-07-01,2016-08-31
503,SEWARD AIRPORT,20634,PAWD,-149.41849,60.12927,14.0,2000-09-20,2025-04-17,,
504,SHAGELUK,106214,PAHX,-159.56667,62.7,78.0,2018-02-04,2025-04-17,,
505,SHAKTOOLIK AIRPORT,79429,PFSH,-161.224,64.37,23.0,2017-05-19,2025-04-17,,
506,SHAKTOOLIK RIVER ALASKA,83033,,-159.90221,64.6328,1850.0,2012-07-17,2024-08-23,,
507,SHEEP MOUNTAIN CAA AIRPORT,20792,PASP,-147.68333,61.8,2280.0,1943-01-19,2011-10-31,1943-01-23,2011-10-31
508,SHEEP MOUNTAIN LODGE,30894,,-147.49921,61.8125,2780.0,2001-10-01,2011-10-31,2001-10-01,2011-10-31
509,SHELTER COVE ALASKA,65795,,-131.34331,55.5317,500.0,1995-05-30,2005-06-09,,
510,SHEMYA USAF BASE,20437,PASY,174.10001,52.71667,122.0,1943-07-01,1995-03-31,1943-11-01,1995-03-31
511,SHISHMAREF AIRPORT,21015,PASH,-166.08936,66.24958,7.0,1919-10-01,2025-04-17,1919-10-14,1973-10-31
512,SHUNGNAK AIRPORT,79752,PAGH,-157.16241,66.88808,206.0,2017-06-27,2025-04-17,,
513,SILVER LAKE,21218,,-144.19139,61.5175,1200.0,1993-07-01,2006-07-31,1993-07-01,2006-07-31
514,SISIAK ALASKA,83149,,-160.3956,67.995,1823.0,2012-08-03,2025-04-17,,
515,SITE SUMMIT ALASKA,65798,,-149.52831,61.2583,3924.0,2000-10-21,2011-11-16,,
516,SITKA 1 NE,32973,,-135.3266,57.0574,78.0,2005-08-16,2025-04-18,,
517,SITKA AIRPORT,20513,PASI,-135.36703,57.04746,20.0,1944-09-01,2025-04-17,1944-09-01,1998-05-31
518,SKAGWAY,29638,,-135.3136,59.4547,35.0,1898-11-01,2025-04-17,1898-11-01,2025-04-17
519,SKAGWAY 6NE,31092,,-135.2319,59.5272,937.0,2002-03-21,2015-10-31,2000-12-01,2014-08-06
520,SKAGWAY AIRPORT,30840,PAGY,-135.32768,59.45383,24.0,1999-05-01,2025-04-17,,
521,SKAGWAY AIRPORT,29639,,-135.32768,59.45383,24.0,1965-07-01,2025-04-16,1965-07-01,2001-06-30
522,SKILAK GUARD STATION ALASKA,65799,,-150.4606,60.4839,590.0,2000-05-08,2025-04-17,,
523,SKWENTNA,20806,PASW,-151.2169,61.9772,150.0,1939-07-01,2016-09-30,1939-09-01,2016-09-30
524,SLANA AIRPORT,29826,PADT,-143.98,62.7,2395.0,1957-06-21,2007-11-30,1957-04-01,2007-11-30
525,SMALL ARMS RANGE ALASKA,82941,,-147.6167,64.8,490.0,2004-12-06,2025-04-17,,
526,SNETTISHAM POWER PLANT,20545,,-133.73849,58.1421,29.0,1964-09-17,2025-04-18,1964-09-08,2025-04-18
527,SNIPE LAKE ALASKA,82818,,-154.32001,60.6103,2300.0,2008-06-07,2025-04-17,,
528,SNOWSHOE LAKE,20810,,-146.69299,62.0302,2312.0,1963-10-01,2011-10-31,1963-10-01,2011-10-31
529,SOLDOTNA 5SSW,31841,,-151.13361,60.4194,180.0,2004-06-01,2024-07-31,2004-06-01,2024-07-31
530,SOLDOTNA AKKKS ALASKA,82952,,-151.01421,60.4967,155.0,2012-06-07,2025-04-17,,
531,SOLDOTNA AP,33054,PASX,-151.03416,60.47583,113.0,2024-08-20,2025-04-17,,
532,SOURDOUGH 1 N,20844,,-145.51666,62.53333,1960.0,1971-09-29,1996-09-30,1971-09-29,1996-09-30
533,ST GEORGE ISLAND AIRPORT,30950,PAPB,-169.66264,56.57484,105.0,1996-10-05,2024-10-24,,
534,ST MARYS AIRPORT,21142,,-163.3,62.06667,320.0,1980-09-16,1991-06-30,1980-09-16,1991-06-30
535,ST MICHAEL AIRPORT,79440,PAMK,-162.11,63.49,92.0,2024-06-25,2025-04-17,,
536,ST. PAUL 4 NE,32960,,-170.2119,57.1575,20.0,2005-10-28,2025-04-18,2019-12-06,2023-12-19
537,STAMPEDE ALASKA,83031,,-150.328,63.7478,1900.0,2004-09-02,2021-04-14,,
538,STERLING 6SW,79808,,-150.91879,60.4905,292.0,2012-08-01,2025-04-17,2012-08-01,2025-04-17
539,STONEY ALASKA,65807,,-153.8958,61.0008,1250.0,1992-06-23,2025-04-17,,
540,STONEY RIVER ALASKA,65808,,-156.4333,61.6467,265.0,1990-09-24,2020-10-08,,
541,STUART CREEK ALASKA,83135,,-146.50439,64.7189,1543.0,2004-12-30,2025-04-17,,
542,SUGARLOAF MTN,77603,,-146.3,61.08,550.0,2007-07-15,2025-04-16,,
543,SUMMIT CREEK,77620,,-149.53,60.62,1400.0,2001-08-08,2025-04-16,,
544,SUMMIT LAKE,20869,,-145.54083,63.14833,3250.0,1967-12-01,1998-01-31,1967-12-01,1998-01-31
545,SUSITNA LANDING,31554,,-150.09889,61.91278,148.0,2003-06-01,2011-04-30,2003-06-01,2011-04-30
546,SUSITNA VALLEY HIGH,77634,,-150.03999,62.13,375.0,1996-10-14,2025-04-16,,
547,SUTTON 1 W,20775,PAJV,-148.9088,61.7138,550.0,1978-01-01,2011-11-01,1978-01-01,2011-11-01
548,SWANSON RIVER ALASKA,65810,,-150.87219,60.7278,280.0,1990-05-21,2025-04-17,,
549,T LAKE ALASKA,65814,,-143.8167,63.7533,2073.0,1990-09-24,2020-09-02,,
550,TAG MTN ALASKA,83111,,-158.66,66.1808,2017.0,2010-06-18,2022-10-04,,
551,TAHINICHOK ALASKA,83141,,-163.5672,67.5503,966.0,2011-09-30,2025-04-17,,
552,TAHNETA PASS,20791,,-147.55,61.81667,2620.0,1978-04-01,2000-09-30,1978-04-01,2000-09-30
553,TALKEETNA AIRPORT,20835,PATK,-150.09744,62.31978,350.0,1918-06-18,2025-04-17,1918-08-01,1998-03-30
554,TANA KNOB ALASKA,83107,,-142.6978,60.9081,3450.0,2004-12-05,2025-04-17,,
555,TANACROSS,20880,,-143.34833,63.37833,1541.0,1904-05-01,2004-08-24,1904-09-17,2003-07-31
556,TANANA AIRPORT,20975,PATA,-152.10677,65.173,225.0,1902-10-01,2025-04-17,1902-10-14,2025-04-16
557,TATALINA RIVER,29424,,-148.24861,65.38444,950.0,1999-04-01,1999-11-30,1999-04-01,1999-11-30
558,TEBAY ALASKA,82761,,-144.4003,61.1881,2000.0,2004-12-05,2021-07-25,,
559,TELAQUANA LAKE,77642,,-153.92,60.98,1275.0,2014-07-13,2025-04-16,,
560,TELIDA ALASKA,65812,,-153.3567,63.44,650.0,1991-05-24,2025-02-14,,
561,TELLER AIRPORT,79709,PATE,-166.35001,65.233,292.0,2017-05-21,2025-04-16,,
562,TEUCHET CREEK,77599,,-145.52,64.95,1640.0,1981-09-30,2025-04-16,,
563,THORNE BAY,79815,,-132.5246,55.6918,286.0,2007-08-25,2025-04-18,2007-08-25,2025-04-18
564,THORNE BAY ALASKA,65813,,-132.98331,55.75,1800.0,1989-09-25,2025-04-17,,
565,TOK,20879,,-143.0372,63.3337,1625.0,1954-06-11,2017-08-27,1954-06-11,2017-08-27
566,TOK #2,40827,,-143.0058,63.3155,1658.0,2010-01-01,2025-04-18,2010-01-01,2025-04-18
567,TOK 70 SE,62508,,-141.2083,62.737,2000.0,2011-09-26,2025-04-18,,
568,TOK AKTAS ALASKA,82868,,-143.00169,63.3253,1702.0,2012-06-14,2025-04-17,,
569,TOK D O T,28899,,-142.99722,63.32833,1640.0,1997-02-01,2009-03-31,1997-02-01,2009-03-31
570,TOK FORESTRY,40575,,-142.99556,63.32694,1636.0,2009-08-11,2013-11-07,2009-08-19,2011-08-01
571,TOK RIVER VALLEY ALASKA,65815,,-143.34669,62.9572,2300.0,1999-08-04,2025-04-17,,
572,TOK SCHOOL,20875,,-142.95778,63.33306,1635.0,2002-09-10,2017-08-27,2002-09-10,2017-08-27
573,TOKLAT ALASKA,82794,,-150.0433,63.5242,3100.0,2004-12-05,2025-04-17,,
574,TOKOSITNA VALLEY,77633,,-150.78,62.63,850.0,2006-06-30,2025-04-16,,
575,TOKSOOK BAY AP,33566,PAOO,-165.08722,60.54139,59.0,2019-12-17,2024-09-07,,
576,TONSINA,20771,,-145.1702,61.651,1579.0,1907-04-01,2014-12-02,1907-10-01,2014-10-31
577,TOOLIK LAKE 5 ENE,83733,,-149.39861,68.6483,2461.0,2017-08-23,2025-04-18,,
578,TRAPPER CREEK 10W,31851,,-150.53778,62.33389,815.0,2004-10-25,2005-02-28,2004-10-23,2005-02-28
579,TRAPPER CREEK 7SW,29086,,-150.42278,62.26222,425.0,1997-12-01,2008-06-30,1997-12-01,2008-06-30
580,TURNAGAIN PASS,77617,,-149.17999,60.78,1880.0,1983-01-06,2025-04-16,,
581,TUTKA BAY LAGOON,20592,,-151.4136,59.43556,63.0,1979-08-02,2003-12-26,1979-08-01,2003-12-31
582,TWO RIVERS,21215,,-146.95416,64.86556,605.0,1992-12-01,2017-12-20,1992-12-01,2013-05-08
583,UMIAT,21076,PAUM,-152.14,69.36944,266.0,1945-04-01,2001-04-30,1945-05-01,2001-04-30
584,UMIAT AIRFIELD ALASKA,82749,,-152.13609,69.37,289.0,2005-12-31,2025-04-17,,
585,UNALAKLEET FIELD,20898,PAUN,-160.8,63.88333,18.0,1941-09-01,1998-10-30,1941-09-01,1998-10-30
586,UNIVERSITY EXPERIMENTAL STATION,20955,,-147.86099,64.8569,475.0,1904-09-04,2025-03-31,1904-09-01,2025-03-31
587,UPPER CHARLEY RIVER ALASKA,82944,,-143.20219,64.5167,3654.0,2004-12-05,2025-04-17,,
588,UPPER CHENA,77593,,-144.92999,65.1,2850.0,1987-04-30,2025-04-16,,
589,UPPER NOME CREEK,77607,,-146.59,65.37,2520.0,2006-08-01,2025-04-16,,
590,UPPER TSAINA RIVER,77595,,-145.64999,61.19,1750.0,2003-12-24,2025-04-16,,
591,UTQIAĠVIK FORMERLY BARROW 4 ENE,31727,,-156.61099,71.3213,15.0,2002-08-10,2025-04-15,,
592,VALDEZ,79397,,-146.3822,61.1312,62.0,2012-10-01,2025-04-07,2012-10-01,2025-04-07
593,VALDEZ 18E,31257,,-145.78917,61.11194,590.0,2001-09-01,2009-04-30,2001-09-01,2009-04-30
594,VALDEZ MUNICIPAL AP,29830,PAVD,-146.2435,61.1315,60.0,2002-02-01,2013-03-06,2002-02-01,2013-01-07
595,VALDEZ WSO,29831,PAVW,-146.3517,61.1303,95.0,1917-05-01,2015-11-13,1917-06-01,2015-11-13
596,VUNZIK LAKE ALASKA,65824,,-146.71581,66.7981,525.0,1994-08-02,2025-04-17,,
597,WAINWRIGHT AIRPORT,30926,PAWI,-160.01314,70.63678,41.0,1998-09-11,2024-09-08,,
598,WALES,21000,KWAA,-168.09917,65.62389,25.0,1925-10-10,1995-08-31,1925-10-10,1995-08-31
599,WALES AIRPORT,79422,PAIW,-168.10001,65.617,23.0,2017-08-14,2025-04-17,,
600,WALLY NOERENBERG HATCHERY,31409,,-148.0872,60.7986,35.0,2002-07-19,2025-03-31,2002-07-01,2025-03-31
601,WASILLA 3 S,20745,,-149.43333,61.53333,50.0,1944-10-18,1999-06-30,1944-11-01,1999-06-30
602,WASILLA 4N,32989,,-149.41917,61.65083,486.0,2006-04-01,2006-11-30,2006-04-01,2006-11-30
603,WEIN LAKE ALASKA,65826,,-151.0833,64.315,1050.0,1988-05-27,2021-08-29,,
604,WHITE MOUNTAIN,20942,PAWM,-163.39999,64.68333,20.0,1922-01-05,2025-04-17,1922-01-14,1990-05-31
605,WHITES CROSSING,20779,,-149.9977,61.7066,270.0,1971-01-29,2009-10-30,1971-01-29,2009-10-31
606,WHITESTONE FARMS,28900,,-145.8894,64.1539,995.0,2003-07-21,2025-04-17,1996-12-01,2025-04-17
607,WHITTIER,20670,,-148.68584,60.77639,60.0,1942-03-01,2011-06-30,1942-03-01,2011-06-30
608,WIGAND ALASKA,83140,,-150.05,63.8122,1720.0,2004-09-02,2025-04-17,,
609,WILLOW 4SW,31941,,-150.11389,61.70639,213.0,2004-06-01,2005-04-30,2004-06-02,2005-04-30
610,WILLOW ALASKA,83024,,-150.05029,61.765,210.0,2005-12-31,2023-12-11,,
611,WILLOW WEST,20784,PAUO,-150.05409,61.748,205.0,1989-12-01,2011-09-25,1989-12-01,2011-09-25
612,WISEMAN,21043,,-150.10957,67.40822,1181.0,1919-11-01,2025-04-18,1918-11-01,2025-04-17
613,WONDER LAKE,20887,,-150.86972,63.49028,2100.0,1925-01-18,2017-09-20,1925-02-01,2017-09-20
614,WONDER LAKE ALASKA,65827,,-150.8714,63.4903,2120.0,1995-07-24,2025-04-17,,
615,WRANGELL AP,29707,PAWG,-132.38741,56.4732,56.0,1917-11-02,2025-04-17,1917-12-05,2013-02-19
616,YAKUTAT 3 SSE,80200,,-139.685,59.5087,26.0,2016-10-13,2025-04-18,,
617,YAKUTAT AIRPORT,20602,PAYA,-139.67104,59.51211,41.0,1917-04-01,2025-04-17,1917-04-01,2024-07-06
618,YAKUTAT POWER,94427,,-139.85556,59.72861,71.0,2019-12-01,2020-03-01,2019-12-01,2020-02-12
619,YANTARNI BAY ALASKA,83027,,-157.03329,56.9144,96.0,2010-08-26,2025-04-17,,
620,ZAREMBO ALASKA,65829,,-132.8486,56.3,1100.0,1989-09-25,2024-08-21,,
